carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Limousine,Other,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1999,31900,"",E 320,E 320 Elégance 4-Matic,"","","",1,l_km_consumption
Limousine,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,1999,101800,"",A8,A8 4.2 quattro,"","","",10,l_km_consumption
SUV / Geländewagen,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",BMW,2004,86200,"",X3,X3 3.0i,"","","",10,l_km_consumption
SUV / Geländewagen,Other,Occasion,"",Automat sequentiell,Zuzwil,"",Land Rover,2012,63200,"",RANGE ROVER,Range Rover 4.4TD Vogue,"","","",1,l_km_consumption
Coupé,Blue,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,1999,20700,"",F360,F360 Modena Berlinetta,"","","",8,l_km_consumption
Coupé,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1985,47000,"",924,924,"","","",5,null
Coupé,Purple,Occasion,"",Automatik-Getriebe,Zuzwil,"",Ferrari,2005,29300,"",F430,F430,"","","",6,l_km_consumption
Limousine,Green,Oldtimer,"",Schaltgetriebe,Zuzwil,"",Nsu,1972,10352,"","",TT,"","","",8,null
Cabriolet,Orange,Occasion,"",Automatik-Getriebe,Zuzwil,"",Mercedes-benz,1992,89100,"","",SL 60,"","","",12,null
SUV / Geländewagen,Red,Occasion,"",Automat sequentiell,Zuzwil,"",Porsche,2003,79000,"",CAYENNE,Cayenne Turbo,"","","",3,l_km_consumption
Coupé,Black,Occasion,"",Schaltgetriebe,Zuzwil,"",Alfa Romeo,1972,18400,"",GTV,2000 Bertone,"","","",2,null
Limousine,Black,Occasion,"",Automat,Zuzwil,"",Volvo,1999,107000,"",S40,S40 2.0 T,"","","",5,l_km_consumption
Kleinwagen,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Renault,1983,159700,"",R5,R5 1400 Alpine Turbo,"","","",12,null
Kombi,Black,Occasion,"",Automatik-Getriebe,Safenwil,"",Aston Martin,1987,39000,"",LAGONDA,Shooting Brake,"","","",3,null
Coupé,Black,Occasion,"",Automatik-Getriebe,Zuzwil,"",Porsche,2001,59500,"",911,911 Turbo,"","","",1,l_km_consumption
Coupé,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Mercedes-benz,2011,23000,"",SLS 63,SLS 63 AMG,"","","",7,l_km_consumption
SUV / Geländewagen,Black,Occasion,"",Automat sequentiell,Zuzwil,"",BMW,2002,32900,"",X5,X5 4.6is,"","","",8,l_km_consumption
Cabriolet,Blue,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1996,78000,"",911,911 Carrera Cabrio,"","","",1,l_km_consumption
Limousine,Black,Occasion,"",Automat,Zuzwil,"",BMW,1999,18300,"",740,740iL,"","","",5,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,147400,"",E 55 AMG,E 55 AMG Avantgarde,"","","",2,l_km_consumption
Kombi,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1997,62500,"",C 280,C 280 Elégance,"","","",6,l_km_consumption
Kombi,Silver,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,144200,"",RS6,RS6 Avant quattro,"","","",2,l_km_consumption
Coupé,Silver,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Mclaren,2012,1200,"",12C,MP4-12C Coupé 3.8 V8,"","","",3,l_km_consumption
Coupé,Silver,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Ferrari,2000,35000,"",456,456M GT,"","","",3,l_km_consumption
Coupé,Silver,Occasion,"",Automat,Zuzwil,"",Porsche,2001,26300,"",911,911 Turbo,"","","",6,l_km_consumption
SUV / Geländewagen,Silver,Occasion,"",Automat,Zuzwil,"",Porsche,2004,91600,"",CAYENNE,Cayenne Turbo,"","","",4,l_km_consumption
Cabriolet,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1995,96600,"",SL 500,SL 500,"","","",1,null
Limousine,White,Occasion,"",Automat sequentiell,Zuzwil,"",Audi,2003,101300,"",A8,A8 4.2 quattro,"","","",9,l_km_consumption
Cabriolet,White,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Ferrari,2012,11700,"",458,458 Spider Italia 4.5 V8,"","","",1,l_km_consumption
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2007,38000,"",MURCIÉLAGO,Murciélago LP640-4 Cpé,"","","",7,l_km_consumption
Limousine,Blue,Occasion,"",Schaltgetriebe,Zuzwil,"",BMW,1974,7990,"",2002,Turbo,"","","",1,null
Coupé,Blue,Occasion,"",Automatisiertes Schaltgetriebe,Zuzwil,"",Lamborghini,2009,7300,"",GALLARDO,Gallardo LP550-2 Cpé V.B.,"","","",9,l_km_consumption
Cabriolet,Purple,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",BMW,2001,46000,"",M3,M3,"","","",3,l_km_consumption
Coupé,Yellow,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Toyota,1990,135800,"",MR2,MR2 2.0,"","","",12,null
Cabriolet,Grey,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,75900,"",SL 600,SL 600,"","","",2,null
Coupé,Red,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1995,96000,"",911,911 Carrera 4 Ruf Turbo BTR 2 420 PS,"","","",4,null
Cabriolet,Red,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1993,117900,"",SL 500,SL 500,"","","",4,null
Coupé,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,1995,62000,"",S 600,S 600,"","","",6,null
SUV / Geländewagen,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,118000,"",ML 500,ML 500,"","","",2,l_km_consumption
Cabriolet,Black,Occasion,"",Schaltgetriebe manuell,Zuzwil,"",Porsche,1997,74000,"",911,911 Targa,"","","",5,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2001,20500,"",SL 500,SL 500,"","","",11,l_km_consumption
Cabriolet,Black,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2002,31200,"",SL 55 AMG,SL 55 AMG,"","","",4,l_km_consumption
Cabriolet,Black,Occasion,"",Automat sequentiell,Zuzwil,"",Jaguar,2009,49500,"",XK,XKR 5.0 V8 SC,"","","",3,l_km_consumption
Limousine,Silver,Occasion,"",Automat,Zuzwil,"",Mercedes-benz,2004,61000,"",S 65 AMG,S 65 L AMG 650PS,"","","",8,l_km_consumption
Cabriolet,Silver,Occasion,"",Schaltgetriebe,Zuzwil,"",Fiat,1974,120000,"",SPIDER,CSA Abarth,"","","",7,null
Limousine,Silver,Occasion,"",Automat,Basel,"",Bentley,2006,15600,"",ARNAGE,Arnage T,"","","",3,l_km_consumption
