ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyColorText,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText
1.0,MERCEDES-BENZ,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,anthrazit,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,"\"Ab MFK\"",5,Automat
1066.0,AUDI,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,silber mét.,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,beige,101800,"\"Ab MFK\"",5,Automat sequentiell
157.0,BMW,X3,X3 3.0i,X3 3.0i,BMW X3 3.0i,blau mét.,SUV / Geländewagen,2979,Zuzwil,276 g/km,Occasion,null,11.4 l/100km,5,Allrad,10,2004,Benzin,231,beige,86200,"\"Ab MFK\"",5,Automatik-Getriebe
17.0,LAND ROVER,RANGE ROVER,Range Rover 4.4TD Vogue,Range Rover 4.4TD Vogue,LAND ROVER Range Rover 4.4TD Vogue,anthrazit mét.,SUV / Geländewagen,4367,Zuzwil,253 g/km,Occasion,G,9.4 l/100km,5,Allrad,1,2012,Diesel,312,beige,63200,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell
182.0,FERRARI,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,blau mét.,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,8,1999,Benzin,400,schwarz,20700,"\"Ab MFK\"",2,Automatik-Getriebe
185.0,PORSCHE,924,924,924,PORSCHE 924,blau mét.,Coupé,1984,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,5,1985,Benzin,125,null,47000,null,4,Schaltgetriebe manuell
210.0,FERRARI,F430,F430,F430,FERRARI F430,bordeaux mét.,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,6,2005,Benzin,486,schwarz,29300,"\"Ab MFK\"",2,Automatik-Getriebe
400.0,NSU,"",TT,TT,NSU TT,grün mét.,Limousine,1177,Zuzwil,null,Oldtimer,null,null,2,null,8,1972,Benzin,65,schwarz,10352,"\"Ab MFK\"",5,Schaltgetriebe
438.0,MERCEDES-BENZ,"",SL 60,SL 60,MERCEDES-BENZ SL 60,orange,Cabriolet,6000,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1992,Benzin,380,schwarz,89100,"\"Ab MFK\"",4,Automatik-Getriebe
464.0,PORSCHE,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,rot,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,grau,79000,"\"Ab MFK\"",5,Automat sequentiell
515.0,ALFA ROMEO,GTV,GTV 2000 Bertone,2000 Bertone,ALFA ROMEO GTV 2000 Bertone,schwarz,Coupé,1961,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1972,Benzin,130,schwarz,18400,null,4,Schaltgetriebe
519.0,VOLVO,S40,S40 2.0 T,S40 2.0 T,VOLVO S40 2.0 T,schwarz,Limousine,1948,Zuzwil,236 g/km,Occasion,null,9.9 l/100km,4,Vorderradantrieb,5,1999,Benzin,160,anthrazit,107000,"\"Ab MFK\"",5,Automat
581.0,RENAULT,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,schwarz,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,12,1983,Benzin,108,braun,159700,"\"Ab MFK\"",4,Schaltgetriebe manuell
666.0,ASTON MARTIN,LAGONDA,LAGONDA Shooting Brake,Shooting Brake,ASTON MARTIN LAGONDA Shooting Brake,schwarz mét.,Kombi,5340,Safenwil,null,Occasion,null,null,4,Hinterradantrieb,3,1987,Benzin,300,grau,39000,"\"Ab MFK\"",4,Automatik-Getriebe
721.0,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,schwarz mét.,Coupé,3600,Zuzwil,309 g/km,Occasion,G,12.9 l/100km,2,Allrad,1,2001,Benzin,420,schwarz,59500,"\"Ab MFK\"",4,Automatik-Getriebe
731.0,MERCEDES-BENZ,SLS 63,SLS 63 AMG,SLS 63 AMG,MERCEDES-BENZ SLS 63 AMG,schwarz mét.,Coupé,6208,Zuzwil,308 g/km,Occasion,G,13.2 l/100km,2,Hinterradantrieb,7,2011,Benzin,571,mehrfarbig,23000,"\"Direkt-/Parallelimport\"",2,Automat sequentiell
747.0,BMW,X5,X5 4.6is,X5 4.6is,BMW X5 4.6is,schwarz mét.,SUV / Geländewagen,4619,Zuzwil,356 g/km,Occasion,G,14.9 l/100km,5,Allrad,8,2002,Benzin,347,schwarz,32900,"\"Ab MFK\"",5,Automat sequentiell
76.0,PORSCHE,911,911 Carrera Cabrio,911 Carrera Cabrio,PORSCHE 911 Carrera Cabrio,blau,Cabriolet,3600,Zuzwil,null,Occasion,null,11.9 l/100km,2,Hinterradantrieb,1,1996,Benzin,285,grau,78000,"\"Ab MFK\"",4,Schaltgetriebe manuell
816.0,BMW,740,740iL,740iL,BMW 740iL,schwarz mét.,Limousine,4398,Zuzwil,317 g/km,Occasion,null,13.3 l/100km,4,Hinterradantrieb,5,1999,Benzin,286,schwarz,18300,"\"Ab MFK\"",5,Automat
841.0,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,silber,Limousine,5439,Zuzwil,310 g/km,Occasion,G,12.9 l/100km,4,Hinterradantrieb,2,2004,Benzin,476,schwarz,147400,"\"Ab MFK\"",5,Automat
842.0,MERCEDES-BENZ,C 280,C 280 Elégance,C 280 Elégance,MERCEDES-BENZ C 280 Elégance,silber,Kombi,2799,Zuzwil,245 g/km,Occasion,G,10.2 l/100km,5,Hinterradantrieb,6,1997,Benzin,197,schwarz,62500,"\"Ab MFK\"",5,Automat
843.0,AUDI,RS6,RS6 Avant quattro,RS6 Avant quattro,AUDI RS6 Avant quattro,silber,Kombi,4172,Zuzwil,350 g/km,Occasion,G,14.6 l/100km,5,Allrad,2,2003,Benzin,450,schwarz,144200,"\"Ab MFK\"",5,Automat sequentiell
866.0,McLAREN,12C,MP4-12C Coupé 3.8 V8,MP4-12C Coupé 3.8 V8,McLAREN MP4-12C Coupé 3.8 V8,silber mét.,Coupé,3798,Zuzwil,279 g/km,Occasion,G,11.7 l/100km,2,Hinterradantrieb,3,2012,Benzin,626,schwarz,1200,"\"Ab MFK\"",2,Automatisiertes Schaltgetriebe
