ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,BodyTypeText,Ccm,City,Co2EmissionText,ConditionTypeText,ConsumptionRatingText,ConsumptionTotalText,Doors,DriveTypeText,FirstRegMonth,FirstRegYear,FuelTypeText,Hp,InteriorColorText,Km,Properties,Seats,TransmissionTypeText,color
1.0,Mercedes-benz,E 320,E 320 Elégance 4-Matic,E 320 Elégance 4-Matic,MERCEDES-BENZ E 320 Elégance 4-Matic,Limousine,3199,Zuzwil,275 g/km,Occasion,null,11.5 l/100km,4,Allrad,1,1999,Benzin,224,grau,31900,"\"Ab MFK\"",5,Automat,Other
1066.0,Audi,A8,A8 4.2 quattro,A8 4.2 quattro,AUDI A8 4.2 quattro,Limousine,4172,Zuzwil,314 g/km,Occasion,G,13.1 l/100km,4,Allrad,10,1999,Benzin,310,beige,101800,"\"Ab MFK\"",5,Automat sequentiell,Silver
157.0,BMW,X3,X3 3.0i,X3 3.0i,BMW X3 3.0i,SUV / Geländewagen,2979,Zuzwil,276 g/km,Occasion,null,11.4 l/100km,5,Allrad,10,2004,Benzin,231,beige,86200,"\"Ab MFK\"",5,Automatik-Getriebe,Blue
17.0,Land Rover,RANGE ROVER,Range Rover 4.4TD Vogue,Range Rover 4.4TD Vogue,LAND ROVER Range Rover 4.4TD Vogue,SUV / Geländewagen,4367,Zuzwil,253 g/km,Occasion,G,9.4 l/100km,5,Allrad,1,2012,Diesel,312,beige,63200,"\"Ab MFK\", \"Direkt-/Parallelimport\"",5,Automat sequentiell,Other
182.0,Ferrari,F360,F360 Modena Berlinetta,F360 Modena Berlinetta,FERRARI F360 Modena Berlinetta,Coupé,3586,Zuzwil,440 g/km,Occasion,G,19.3 l/100km,2,Hinterradantrieb,8,1999,Benzin,400,schwarz,20700,"\"Ab MFK\"",2,Automatik-Getriebe,Blue
185.0,Porsche,924,924,924,PORSCHE 924,Coupé,1984,Zuzwil,null,Occasion,null,null,3,Hinterradantrieb,5,1985,Benzin,125,null,47000,null,4,Schaltgetriebe manuell,Blue
210.0,Ferrari,F430,F430,F430,FERRARI F430,Coupé,4308,Zuzwil,420 g/km,Occasion,G,18.3 l/100km,2,Hinterradantrieb,6,2005,Benzin,486,schwarz,29300,"\"Ab MFK\"",2,Automatik-Getriebe,Purple
400.0,Nsu,"",TT,TT,NSU TT,Limousine,1177,Zuzwil,null,Oldtimer,null,null,2,null,8,1972,Benzin,65,schwarz,10352,"\"Ab MFK\"",5,Schaltgetriebe,Green
438.0,Mercedes-benz,"",SL 60,SL 60,MERCEDES-BENZ SL 60,Cabriolet,6000,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,12,1992,Benzin,380,schwarz,89100,"\"Ab MFK\"",4,Automatik-Getriebe,Orange
464.0,Porsche,CAYENNE,Cayenne Turbo,Cayenne Turbo,PORSCHE Cayenne Turbo,SUV / Geländewagen,4511,Zuzwil,378 g/km,Occasion,G,15.7 l/100km,5,Allrad,3,2003,Benzin,450,grau,79000,"\"Ab MFK\"",5,Automat sequentiell,Red
515.0,Alfa Romeo,GTV,GTV 2000 Bertone,2000 Bertone,ALFA ROMEO GTV 2000 Bertone,Coupé,1961,Zuzwil,null,Occasion,null,null,2,Hinterradantrieb,2,1972,Benzin,130,schwarz,18400,null,4,Schaltgetriebe,Black
519.0,Volvo,S40,S40 2.0 T,S40 2.0 T,VOLVO S40 2.0 T,Limousine,1948,Zuzwil,236 g/km,Occasion,null,9.9 l/100km,4,Vorderradantrieb,5,1999,Benzin,160,anthrazit,107000,"\"Ab MFK\"",5,Automat,Black
581.0,Renault,R5,R5 1400 Alpine Turbo,R5 1400 Alpine Turbo,RENAULT R5 1400 Alpine Turbo,Kleinwagen,1397,Zuzwil,null,Occasion,null,null,3,Vorderradantrieb,12,1983,Benzin,108,braun,159700,"\"Ab MFK\"",4,Schaltgetriebe manuell,Black
